item_name,category,price
Chana Dal,Pulses,100
Maah Dal,Pulses,100
Green Moongi,Pulses,100
Yellow Moongi,Pulses,100
White Chana,Pulses,100
Black Chana,Pulses,100
Rajma,Pulses,100
Red Masoor,Pulses,1000
Black Masoor,Pulses,120
Urad Dal,Pulses,130
Arhar Dal,Pulses,180
Harpic(500ml,cleaning,125
Lizol(200ml),cleaning,140
Colin(100ml),cleaning,99
Surf Excel(500g),cleaning,65
Surf Excel(1kg),cleaning,130
Utensil Cleaning Soap,cleaning,10
Cloth Washing Soap,cleaning,80
WhitePhenyl(1L),cleaning,110
BlackPhenyl(1L),cleaning,65
Bathing Soap ,cleaning,
Liquid Handwash(200ml),cleaning,
Biscuits,snacks,10
namkeen,snacks,10
